Player Name, Sofascore_ID
Jesús Alberto Angulo, 869277
Hassan Al-Tambakti, 881837
Ziyad Al-Johani,1048372
Maytham Jabbar,906078
Alejandro Zendejas,790108
Khojiakbar Alijonov,888187
Odiljon Hamrobekov,823992
Derrick Etienne Jr.,828012
Sphephelo Sithole,822684
Mohamed Naceur Almanai, 1083016
Anthony Ralston,840227
Gatito Fernández, 840027
Juan José Cáceres,989801
Mouhib Chamakh,2018130
Mohamed Amine Ben Hamida,1000809
El Mahdy Soliman,918547
Hossein Kanaanizadegan,812952
Rouzbeh Cheshmi,828230
Gilson Benchimol,1111215
Alaa Al-Hejji,826242
Michael Amir Murillo,839493
Khojiakbar Alijonov,888187
Mohammad Abu Hashish,986341
Saed Al-Rosan,920476
Husam Abu Dahab,1122369
Nour Bani Attiah,828259
Yazeed Abulaila,828294
Marcus Holmgren Pedersen,934409
Ronaldo Dejesús,1095279
Robert Piris Da Motta,805216
Cammy Devlin,944054
Mostafa Ziko,1418782
Juan Manuel Sanabria,874568
Mohamed Amine Tougai,1018018
Yacine Titraoui,1094538
Derrick Luckassen,363782
Mladen Jurkas, 1587186
Christopher Bonsu Baah, 1477662